<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.08.13	9.78	9.90	9.73	9.78	21396	19562400	1
2012.08.14	9.84	9.93	9.68	9.69	19254	19888700	1
2012.08.15	9.67	9.82	9.65	9.79	28253	27640300	1
2012.08.16	9.91	10.02	9.83	9.98	29137	21812100	1
2012.08.17	10.03	10.05	9.92	10.03	22276	17505500	1
2012.08.20	10.00	10.10	9.96	10.04	29132	31674600	1
2012.08.21	10.17	10.18	9.84	9.88	30156	30201500	1
2012.08.22	9.82	10.02	9.78	10.00	24103	20990800	1
2012.08.23	9.96	10.01	9.83	9.90	20628	16991200	1
2012.08.24	9.82	10.00	9.79	9.88	23037	23253600	1
2012.08.27	9.89	9.95	9.78	9.94	15572	14650800	1
2012.08.28	9.89	10.00	9.89	9.93	15150	12377900	1
2012.08.29	10.00	10.01	9.82	9.87	26888	19172200	1
2012.08.30	9.81	9.89	9.72	9.79	26466	15313800	1
2012.08.31	9.84	9.87	9.65	9.65	30073	23844000	1
2012.09.03	9.66	9.71	9.54	9.62	15056	9996000	1
2012.09.04	9.60	9.65	9.48	9.50	23243	14057800	1
2012.09.05	9.56	9.63	9.43	9.58	27561	13312900	1
2012.09.06	9.62	9.83	9.58	9.77	27472	18648700	1
2012.09.10	9.97	10.02	9.83	9.88	31022	22808700	1
2012.09.11	9.89	10.12	9.89	10.10	26770	18894200	1
2012.09.12	10.15	10.27	10.09	10.23	30386	27378300	1
2012.09.13	10.21	10.73	10.15	10.65	55753	40030600	1
2012.09.14	10.73	11.09	10.72	10.84	73217	46359700	1
2012.09.17	10.78	11.02	10.63	10.82	48636	30305700	1
2012.09.18	10.86	10.90	10.72	10.79	21600	16636100	1
2012.09.19	10.77	10.86	10.54	10.55	37841	29299800	1
2012.09.20	10.49	10.79	10.43	10.67	24388	20989200	1
2012.09.21	10.77	10.82	10.56	10.56	26986	18664200	1
2012.09.24	10.54	10.68	10.49	10.68	22800	17883400	1
2012.09.25	10.68	10.75	10.51	10.58	24245	25065400	1
2012.09.26	10.48	10.62	10.45	10.59	20353	18567700	1
2012.09.27	10.65	10.69	10.56	10.56	18669	18188700	1
2012.09.28	10.49	10.54	10.33	10.41	25947	18606500	1
2012.10.01	10.39	10.63	10.38	10.47	22055	15561200	1
2012.10.02	10.55	10.61	10.39	10.56	22153	15631500	1
2012.10.03	10.59	10.64	10.36	10.39	29611	22469600	1
2012.10.04	10.40	10.50	10.24	10.42	31559	22324900	1
2012.10.05	10.55	10.55	10.33	10.35	19947	14597000	1
2012.10.08	10.28	10.46	10.28	10.43	18182	13203900	1
2012.10.09	10.44	10.51	10.32	10.34	20511	16947700	1
2012.10.10	10.36	10.42	10.29	10.29	15509	15902900	1
2012.10.11	10.36	10.51	10.33	10.47	30326	21974800	1
2012.10.15	10.49	10.61	10.43	10.61	39945	23080300	1
2012.10.16	10.67	10.75	10.49	10.61	29275	21557100	1
2012.10.17	10.58	10.64	10.49	10.52	30104	27042800	1
2012.10.18	10.49	10.54	10.37	10.47	46502	30231900	1
2012.10.19	10.48	10.51	10.35	10.35	29106	19889500	1
2012.10.22	10.39	10.49	10.24	10.26	24173	18691800	1
2012.10.23	10.21	10.22	10.00	10.08	25167	25781600	1
2012.10.24	10.11	10.15	10.02	10.02	12819	10713900	1
2012.10.25	10.10	10.25	10.07	10.12	13357	11479300	1
2012.10.26	10.09	10.43	10.05	10.28	30452	25265600	1
2012.10.29	10.00	10.05	9.85	9.93	27963	20147000	1
2012.10.30	9.96	10.09	9.96	10.02	14003	8371100	1
2012.10.31	10.06	10.10	9.68	9.68	37038	29371400	1
2012.11.01	9.73	9.80	9.62	9.70	31680	22117500	1
2012.11.05	9.60	9.89	9.50	9.88	21993	22310900	1
2012.11.06	9.97	10.14	9.89	10.09	33550	21146700	1
2012.11.07	10.06	10.10	9.79	9.85	22050	23139600	1
2012.11.08	9.86	9.93	9.57	9.59	31056	22521200	1
2012.11.09	9.56	9.82	9.55	9.67	27768	20267100	1
2012.11.12	9.69	9.75	9.51	9.51	27067	16557100	1
2012.11.13	9.51	9.62	9.43	9.52	29562	24872900	1
2012.11.14	9.44	9.56	9.15	9.21	36945	27822100	1
2012.11.16	9.15	9.21	8.76	8.85	35066	32782700	1
2012.11.19	9.04	9.13	8.90	8.90	27802	21442300	1
2012.11.21	9.06	9.10	8.66	8.66	35967	31607400	1
2012.11.22	8.75	8.82	8.58	8.68	22830	16507800	1
2012.11.23	8.68	8.92	8.61	8.92	23663	19156300	1
2012.11.26	8.90	8.90	8.70	8.76	24913	17626200	1
2012.11.27	8.80	8.97	8.60	8.61	33898	30811400	1
2012.11.28	8.58	8.76	8.54	8.68	37598	25118600	1
2012.11.29	8.84	8.91	8.72	8.91	32541	25743300	1
2012.11.30	8.88	8.97	8.61	8.68	34921	35842100	1
2012.12.03	8.78	8.86	8.70	8.84	22375	21007700	1
2012.12.04	8.86	8.90	8.73	8.76	28010	23849800	1
2012.12.05	8.84	8.84	8.72	8.81	21071	16531600	1
2012.12.06	8.80	8.83	8.70	8.70	20626	19309000	1
2012.12.07	8.73	8.89	8.68	8.88	19020	16639700	1
2012.12.10	8.86	9.10	8.81	9.10	27109	22778100	1
2012.12.11	9.15	9.30	9.12	9.30	36377	27189100	1
2012.12.12	9.27	9.33	9.16	9.23	38848	34315500	1
2012.12.13	9.18	9.22	9.07	9.10	37373	32335100	1
2012.12.14	9.11	9.43	9.09	9.40	45956	44404300	1
2012.12.17	9.34	9.37	9.21	9.27	29674	27026300	1
2012.12.18	9.24	9.42	9.23	9.38	29193	24468900	1
2012.12.19	9.49	9.76	9.49	9.74	48608	48168500	1
2012.12.20	9.71	9.81	9.60	9.79	32648	25235000	1
2012.12.21	9.61	9.65	9.49	9.62	24441	29221200	1
2012.12.26	9.56	9.62	9.33	9.33	19420	22662100	1
2012.12.27	9.33	9.38	9.00	9.03	33269	28777800	1
2012.12.28	9.07	9.13	8.98	9.08	24345	27975700	1
2013.01.02	9.30	9.40	9.16	9.16	43129	29842300	1
2013.01.03	9.22	9.49	9.16	9.49	34760	30283200	1
2013.01.04	9.46	9.59	9.38	9.53	37877	36170300	1
2013.01.07	9.53	9.62	9.28	9.34	39923	27848200	1
2013.01.08	9.36	9.41	9.05	9.07	43349	28465000	1
2013.01.09	9.14	9.24	9.05	9.16	38386	23995200	1
2013.01.10	9.20	9.25	9.09	9.22	21322	16844100	1
2013.01.11	9.23	9.32	9.16	9.25	20016	17781600	1
2013.01.14	9.31	9.42	9.19	9.23	33533	27389600	1
2013.01.15	9.36	9.37	9.20	9.22	28975	29457600	1
2013.01.16	9.25	9.25	9.12	9.23	15061	16410700	1
2013.01.17	9.24	9.27	9.16	9.17	20134	18867300	1
2013.01.18	9.21	9.25	9.11	9.11	17487	18423000	1
2013.01.21	9.10	9.12	8.96	9.02	18510	18099900	1
2013.01.22	9.03	9.11	8.95	9.11	33156	23379600	1
2013.01.23	9.07	9.13	9.04	9.09	16966	16915200	1
2013.01.24	9.01	9.18	9.01	9.12	25065	19201500	1
2013.01.28	9.18	9.22	8.98	9.01	23518	19905900	1
2013.01.29	9.00	9.01	8.76	8.89	29214	26795700	1
2013.01.30	8.83	8.83	8.45	8.47	58173	66345100	1
2013.01.31	8.49	8.53	8.33	8.41	41759	32738900	1
2013.02.01	8.44	8.68	8.43	8.59	30472	27871500	1
2013.02.04	8.45	8.54	8.32	8.37	30738	31819600	1
2013.02.05	8.04	8.51	8.03	8.41	78291	76983100	1
2013.02.06	8.34	8.37	8.15	8.19	34822	30565300	1
2013.02.07	8.26	8.36	8.06	8.14	34997	36508300	1
2013.02.08	8.16	8.25	8.09	8.25	29782	30634700	1
2013.02.13	8.35	8.37	8.25	8.28	25161	21987300	1
2013.02.14	8.28	8.33	8.18	8.22	30674	25683600	1
2013.02.15	8.19	8.28	8.15	8.20	29816	24694600	1
2013.02.18	8.21	8.33	8.15	8.33	21349	20088000	1
2013.02.19	8.33	8.46	8.32	8.42	30137	28320000	1
2013.02.20	8.42	8.42	8.18	8.20	29895	25794600	1
2013.02.21	8.13	8.17	8.00	8.06	30199	30119000	1
2013.02.22	8.15	8.15	7.91	7.98	32781	30685700	1
2013.02.25	7.93	7.95	7.84	7.89	32789	30181200	1
2013.02.26	7.81	7.84	7.69	7.79	31413	33228600	1
2013.02.27	7.81	7.90	7.74	7.82	27018	28494200	1
2013.02.28	7.80	7.84	7.70	7.73	23776	27495600	1
2013.03.01	7.68	7.92	7.63	7.86	38779	31359600	1
2013.03.04	7.82	7.95	7.68	7.68	33060	34946600	1
2013.03.05	7.74	7.80	7.66	7.70	30173	31499900	1
2013.03.06	8.19	8.50	8.01	8.40	84029	73795000	1
2013.03.07	8.52	9.11	8.52	8.82	63501	62303600	1
2013.03.08	8.74	8.99	8.45	8.55	36456	30485100	1
2013.03.11	8.51	8.82	8.34	8.81	32700	24802300	1
2013.03.12	8.77	8.90	8.67	8.72	30591	26094700	1
2013.03.13	8.75	8.93	8.72	8.73	42781	31559300	1
2013.03.14	8.83	9.02	8.65	9.02	36131	26897700	1
2013.03.15	9.02	9.09	8.84	8.88	51974	43316200	1
2013.03.18	8.79	9.00	8.76	8.93	58521	40223900	1
